item,name,label,predicted_label,confidence
http://www.wikidata.org/entity/Q15786,1. FC Nürnberg,cultural representative,cultural exclusive,0.7216706462204456
http://www.wikidata.org/entity/Q593,A Gang Story,cultural exclusive,cultural representative,0.5779998190701008
http://www.wikidata.org/entity/Q15,Africa,cultural representative,cultural agnostic,0.8624220117926598
http://www.wikidata.org/entity/Q487265,Anasyrma,cultural representative,cultural exclusive,0.7330947741866112
http://www.wikidata.org/entity/Q27585,AOL,cultural exclusive,cultural representative,0.8979305624961853
http://www.wikidata.org/entity/Q17045537,aragoto,cultural exclusive,cultural representative,0.86057448387146
http://www.wikidata.org/entity/Q552300,"Baa, Baa, Black Sheep",cultural exclusive,cultural representative,0.8503036201000214
http://www.wikidata.org/entity/Q890297,Baltic song festivals,cultural representative,cultural exclusive,0.4764679856598377
http://www.wikidata.org/entity/Q811389,Bauhaus Archive,cultural representative,cultural exclusive,0.9392021745443344
http://www.wikidata.org/entity/Q812609,Bayrisch Kraut,cultural representative,cultural exclusive,0.8781298473477364
http://www.wikidata.org/entity/Q157906,Boomerang,cultural exclusive,cultural representative,0.9063465148210526
http://www.wikidata.org/entity/Q549322,bullfighter,cultural representative,cultural agnostic,0.8235621824860573
http://www.wikidata.org/entity/Q1132695,calico,cultural representative,cultural agnostic,0.6260353345423937
http://www.wikidata.org/entity/Q154996,Charlottenburg Palace,cultural representative,cultural exclusive,0.8623652532696724
http://www.wikidata.org/entity/Q1604035,Choc Stars,cultural exclusive,cultural representative,0.6561419703066349
http://www.wikidata.org/entity/Q8690,Cultural Revolution,cultural representative,cultural exclusive,0.7835323140025139
http://www.wikidata.org/entity/Q15647884,Dato Sri Tahir,cultural representative,cultural exclusive,0.9522979855537416
http://www.wikidata.org/entity/Q850794,dhoti,cultural exclusive,cultural representative,0.9021451771259308
http://www.wikidata.org/entity/Q3290343,Dione Lucas,cultural exclusive,cultural representative,0.615968941245228
http://www.wikidata.org/entity/Q2722359,Dnyaneshwari,cultural exclusive,cultural representative,0.7345644403249025
http://www.wikidata.org/entity/Q1350189,egyptologist,cultural agnostic,cultural representative,0.6623352244496346
http://www.wikidata.org/entity/Q3102,Francis Coventry,cultural exclusive,cultural representative,0.8565358966588974
http://www.wikidata.org/entity/Q764233,geoponici,cultural representative,cultural exclusive,0.8503478914499283
http://www.wikidata.org/entity/Q655556,Heimatschutz Architecture,cultural representative,cultural exclusive,0.93243707716465
http://www.wikidata.org/entity/Q51677,High Priest of Israel,cultural representative,cultural exclusive,0.682444735430181
